iter	MultiClass
0	1.031221849
1	0.9759077385
2	0.9276521288
3	0.8837862817
4	0.8453294763
5	0.8068293848
6	0.7716124552
7	0.739344297
8	0.7133824749
9	0.6858422918
10	0.6610845499
11	0.6411106758
12	0.6220643296
13	0.60131916
14	0.584286907
15	0.5650619604
16	0.5448612346
17	0.5292835856
18	0.5158961872
19	0.5044374136
20	0.4942485203
21	0.4818752896
22	0.4691033715
23	0.4565098916
24	0.44271326
25	0.4338083516
26	0.4221399693
27	0.4109906151
28	0.4023162202
29	0.394965845
30	0.38569048
31	0.3776845077
32	0.3706795146
33	0.3649442151
34	0.3574102507
35	0.3511855366
36	0.3455086273
37	0.3400200936
38	0.3332860084
39	0.3269645151
40	0.3219517294
41	0.3165660266
42	0.3117700737
43	0.3057184223
44	0.3003552843
45	0.2954042234
46	0.2904562147
47	0.2866352085
48	0.2822700259
49	0.27997439
50	0.2766074687
51	0.2722659061
52	0.2697647192
53	0.2678678296
54	0.2645923909
55	0.2621832853
56	0.2590199916
57	0.2558360973
58	0.2526675569
59	0.2502648191
60	0.247349944
61	0.244445502
62	0.2419749996
63	0.2399052938
64	0.2376486738
65	0.2359062707
66	0.2335786258
67	0.2318930128
68	0.2298858768
69	0.2276295704
70	0.2254039938
71	0.2237854124
72	0.2222843579
73	0.2206429584
74	0.2189588969
75	0.2179667104
76	0.2166821794
77	0.2152986397
78	0.214028048
79	0.2130600666
80	0.2121671383
81	0.2111082813
82	0.2089639374
83	0.2076976213
84	0.20611111
85	0.2046458743
86	0.2031855689
87	0.2020291243
88	0.2009796432
89	0.2005864633
90	0.1997730345
91	0.1987190832
92	0.1977217184
93	0.1967637109
94	0.1962813028
95	0.19584064
96	0.1950349991
97	0.1942416517
98	0.1936516977
99	0.1929212779
100	0.1917933623
101	0.190940832
102	0.1899871543
103	0.1890842065
104	0.1884541631
105	0.1877020489
106	0.1868102814
107	0.1863252479
108	0.1855506041
109	0.1850286942
110	0.1839511623
111	0.1831182456
112	0.1825513706
113	0.1816961898
114	0.1809693705
115	0.1800833868
116	0.1789820758
117	0.1782713253
118	0.1775532664
119	0.1771599158
120	0.1761210578
121	0.1756186474
122	0.175272664
123	0.1748578976
124	0.1741216217
125	0.1731593303
126	0.1724296323
127	0.1718974604
128	0.1715873936
129	0.1709703221
130	0.1702853645
131	0.169246734
132	0.1686136487
133	0.1683856256
134	0.1674511041
135	0.1662506105
136	0.1658202757
137	0.1650382166
138	0.16467252
139	0.1643657828
140	0.1639005421
141	0.1633654142
142	0.1630029207
143	0.1626571634
144	0.1623286155
145	0.1620593708
146	0.1615545664
147	0.1609917333
148	0.1600654739
149	0.1593421986
150	0.1588655294
151	0.1585685637
152	0.1578576026
153	0.1571518243
154	0.1568653985
155	0.1564964127
156	0.1560469563
157	0.1554500453
158	0.155079235
159	0.1546990596
160	0.1539194284
161	0.1536169864
162	0.1530439666
163	0.152244808
164	0.1515329187
165	0.1508914067
166	0.1504466825
167	0.1500553567
168	0.1494634188
169	0.1493478384
170	0.1490242119
171	0.1483337241
172	0.1479746813
173	0.1476094355
174	0.1470281824
175	0.1466333818
176	0.1463383095
177	0.146089172
178	0.1455392046
179	0.1449170039
180	0.1445467561
181	0.1443822616
182	0.1441590282
183	0.1436817916
184	0.1433134106
185	0.1429479993
186	0.1425636446
187	0.1422054751
188	0.1417723746
189	0.1413988524
190	0.1409479683
191	0.1404624254
192	0.1400642732
193	0.1396848284
194	0.1394358009
195	0.1390868711
196	0.1388192284
197	0.1384095994
198	0.1380599814
199	0.1378511695
