iter	Passed	Remaining
0	150	29955
1	157	15619
2	164	10802
3	171	8396
4	178	6970
5	185	6004
6	192	5317
7	199	4796
8	206	4371
9	211	4025
10	217	3739
11	222	3492
12	228	3285
13	233	3106
14	240	2964
15	246	2830
16	252	2713
17	258	2609
18	263	2513
19	269	2428
20	276	2353
21	280	2272
22	286	2207
23	292	2147
24	298	2087
25	303	2034
26	311	1995
27	316	1944
28	322	1902
29	328	1859
30	333	1818
31	338	1778
32	344	1741
33	349	1706
34	355	1674
35	360	1644
36	366	1615
37	371	1583
38	376	1553
39	381	1526
40	387	1503
41	392	1478
42	398	1453
43	404	1433
44	409	1408
45	414	1387
46	419	1365
47	424	1345
48	430	1325
49	434	1304
50	440	1286
51	444	1266
52	450	1249
53	455	1232
54	460	1213
55	466	1198
56	471	1183
57	476	1166
58	482	1152
59	488	1139
60	493	1124
61	499	1112
62	504	1097
63	510	1084
64	518	1076
65	523	1062
66	528	1049
67	533	1036
68	538	1022
69	544	1010
70	549	997
71	554	984
72	558	972
73	563	960
74	569	948
75	574	937
76	579	926
77	584	914
78	589	903
79	595	893
80	600	882
81	605	871
82	610	861
83	616	851
84	621	840
85	626	831
86	631	820
87	636	810
88	642	801
89	648	792
90	653	782
91	659	773
92	663	763
93	668	754
94	673	744
95	678	735
96	683	726
97	688	716
98	694	708
99	699	699
100	704	690
101	710	682
102	715	673
103	720	664
104	726	657
105	731	648
106	736	640
107	742	632
108	747	623
109	752	615
110	758	608
111	763	599
112	768	591
113	774	584
114	779	576
115	784	568
116	790	560
117	795	552
118	800	544
119	805	537
120	810	529
121	815	521
122	821	514
123	826	506
124	831	498
125	837	491
126	842	484
127	847	476
128	852	469
129	857	461
130	862	454
131	867	446
132	873	439
133	878	432
134	883	425
135	888	418
136	893	410
137	898	403
138	904	396
139	909	389
140	914	382
141	920	375
142	925	368
143	930	361
144	935	354
145	940	347
146	944	340
147	950	333
148	955	326
149	960	320
150	965	313
151	971	306
152	976	299
153	982	293
154	988	286
155	993	280
156	999	273
157	1005	267
158	1010	260
159	1017	254
160	1023	247
161	1030	241
162	1035	234
163	1039	228
164	1044	221
165	1049	214
166	1054	208
167	1059	201
168	1064	195
169	1069	188
170	1074	182
171	1080	175
172	1085	169
173	1090	162
174	1096	156
175	1101	150
176	1106	143
177	1112	137
178	1117	131
179	1123	124
180	1129	118
181	1134	112
182	1140	105
183	1146	99
184	1151	93
185	1156	87
186	1161	80
187	1167	74
188	1172	68
189	1178	62
190	1183	55
191	1188	49
192	1193	43
193	1199	37
194	1204	30
195	1209	24
196	1214	18
197	1219	12
198	1226	6
199	1231	0
