tanggal,stasiun,ndvi,days_since_ndvi_update
2010-01-01,DKI1,0.2023,0
2010-01-02,DKI1,0.2023,1
2010-01-03,DKI1,0.2023,2
2010-01-04,DKI1,0.2023,3
2010-01-05,DKI1,0.2023,4
2010-01-06,DKI1,0.2023,5
2010-01-07,DKI1,0.2023,6
2010-01-08,DKI1,0.2023,7
2010-01-09,DKI1,0.2023,8
2010-01-10,DKI1,0.2023,9
2010-01-11,DKI1,0.2023,10
2010-01-12,DKI1,0.2023,11
2010-01-13,DKI1,0.2023,12
2010-01-14,DKI1,0.2023,13
2010-01-15,DKI1,0.2023,14
2010-01-16,DKI1,0.2023,15
2010-01-17,DKI1,0.2234,0
2010-01-18,DKI1,0.2234,1
2010-01-19,DKI1,0.2234,2
2010-01-20,DKI1,0.2234,3
2010-01-21,DKI1,0.2234,4
2010-01-22,DKI1,0.2234,5
2010-01-23,DKI1,0.2234,6
2010-01-24,DKI1,0.2234,7
2010-01-25,DKI1,0.2234,8
2010-01-26,DKI1,0.2234,9
2010-01-27,DKI1,0.2234,10
2010-01-28,DKI1,0.2234,11
2010-01-29,DKI1,0.2234,12
2010-01-30,DKI1,0.2234,13
2010-01-31,DKI1,0.2234,14
2010-02-01,DKI1,0.2234,15
2010-02-02,DKI1,0.1866,0
2010-02-03,DKI1,0.1866,1
2010-02-04,DKI1,0.1866,2
2010-02-05,DKI1,0.1866,3
2010-02-06,DKI1,0.1866,4
2010-02-07,DKI1,0.1866,5
2010-02-08,DKI1,0.1866,6
2010-02-09,DKI1,0.1866,7
2010-02-10,DKI1,0.1866,8
2010-02-11,DKI1,0.1866,9
2010-02-12,DKI1,0.1866,10
2010-02-13,DKI1,0.1866,11
2010-02-14,DKI1,0.1866,12
2010-02-15,DKI1,0.1866,13
2010-02-16,DKI1,0.1866,14
2010-02-17,DKI1,0.1866,15
2010-02-18,DKI1,0.1744,0
2010-02-19,DKI1,0.1744,1
2010-02-20,DKI1,0.1744,2
2010-02-21,DKI1,0.1744,3
2010-02-22,DKI1,0.1744,4
2010-02-23,DKI1,0.1744,5
2010-02-24,DKI1,0.1744,6
2010-02-25,DKI1,0.1744,7
2010-02-26,DKI1,0.1744,8
2010-02-27,DKI1,0.1744,9
2010-02-28,DKI1,0.1744,10
2010-03-01,DKI1,0.1744,11
2010-03-02,DKI1,0.1744,12
2010-03-03,DKI1,0.1744,13
2010-03-04,DKI1,0.1744,14
2010-03-05,DKI1,0.1744,15
2010-03-06,DKI1,0.1287,0
2010-03-07,DKI1,0.1287,1
2010-03-08,DKI1,0.1287,2
2010-03-09,DKI1,0.1287,3
2010-03-10,DKI1,0.1287,4
2010-03-11,DKI1,0.1287,5
2010-03-12,DKI1,0.1287,6
2010-03-13,DKI1,0.1287,7
2010-03-14,DKI1,0.1287,8
2010-03-15,DKI1,0.1287,9
2010-03-16,DKI1,0.1287,10
2010-03-17,DKI1,0.1287,11
2010-03-18,DKI1,0.1287,12
2010-03-19,DKI1,0.1287,13
2010-03-20,DKI1,0.1287,14
2010-03-21,DKI1,0.1287,15
2010-03-22,DKI1,0.2235,0
2010-03-23,DKI1,0.2235,1
2010-03-24,DKI1,0.2235,2
2010-03-25,DKI1,0.2235,3
2010-03-26,DKI1,0.2235,4
2010-03-27,DKI1,0.2235,5
2010-03-28,DKI1,0.2235,6
2010-03-29,DKI1,0.2235,7
2010-03-30,DKI1,0.2235,8
2010-03-31,DKI1,0.2235,9
2010-04-01,DKI1,0.2235,10
2010-04-02,DKI1,0.2235,11
2010-04-03,DKI1,0.2235,12
2010-04-04,DKI1,0.2235,13
2010-04-05,DKI1,0.2235,14
2010-04-06,DKI1,0.2235,15
2010-04-07,DKI1,0.2226,0
2010-04-08,DKI1,0.2226,1
2010-04-09,DKI1,0.2226,2
2010-04-10,DKI1,0.2226,3
2010-04-11,DKI1,0.2226,4
2010-04-12,DKI1,0.2226,5
2010-04-13,DKI1,0.2226,6
2010-04-14,DKI1,0.2226,7
2010-04-15,DKI1,0.2226,8
2010-04-16,DKI1,0.2226,9
2010-04-17,DKI1,0.2226,10
2010-04-18,DKI1,0.2226,11
2010-04-19,DKI1,0.2226,12
2010-04-20,DKI1,0.2226,13
2010-04-21,DKI1,0.2226,14
2010-04-22,DKI1,0.2226,15
2010-04-23,DKI1,0.168,0
2010-04-24,DKI1,0.168,1
2010-04-25,DKI1,0.168,2
2010-04-26,DKI1,0.168,3
2010-04-27,DKI1,0.168,4
2010-04-28,DKI1,0.168,5
2010-04-29,DKI1,0.168,6
2010-04-30,DKI1,0.168,7
2010-05-01,DKI1,0.168,8
2010-05-02,DKI1,0.168,9
2010-05-03,DKI1,0.168,10
2010-05-04,DKI1,0.168,11
2010-05-05,DKI1,0.168,12
2010-05-06,DKI1,0.168,13
2010-05-07,DKI1,0.168,14
2010-05-08,DKI1,0.168,15
2010-05-09,DKI1,0.2063,0
2010-05-10,DKI1,0.2063,1
2010-05-11,DKI1,0.2063,2
2010-05-12,DKI1,0.2063,3
2010-05-13,DKI1,0.2063,4
2010-05-14,DKI1,0.2063,5
2010-05-15,DKI1,0.2063,6
2010-05-16,DKI1,0.2063,7
2010-05-17,DKI1,0.2063,8
2010-05-18,DKI1,0.2063,9
2010-05-19,DKI1,0.2063,10
2010-05-20,DKI1,0.2063,11
2010-05-21,DKI1,0.2063,12
2010-05-22,DKI1,0.2063,13
2010-05-23,DKI1,0.2063,14
2010-05-24,DKI1,0.2063,15
2010-05-25,DKI1,0.1154,0
2010-05-26,DKI1,0.1154,1
2010-05-27,DKI1,0.1154,2
2010-05-28,DKI1,0.1154,3
2010-05-29,DKI1,0.1154,4
2010-05-30,DKI1,0.1154,5
2010-05-31,DKI1,0.1154,6
2010-06-01,DKI1,0.1154,7
2010-06-02,DKI1,0.1154,8
2010-06-03,DKI1,0.1154,9
2010-06-04,DKI1,0.1154,10
2010-06-05,DKI1,0.1154,11
2010-06-06,DKI1,0.1154,12
2010-06-07,DKI1,0.1154,13
2010-06-08,DKI1,0.1154,14
2010-06-09,DKI1,0.1154,15
2010-06-10,DKI1,0.2265,0
2010-06-11,DKI1,0.2265,1
2010-06-12,DKI1,0.2265,2
2010-06-13,DKI1,0.2265,3
2010-06-14,DKI1,0.2265,4
2010-06-15,DKI1,0.2265,5
2010-06-16,DKI1,0.2265,6
2010-06-17,DKI1,0.2265,7
2010-06-18,DKI1,0.2265,8
2010-06-19,DKI1,0.2265,9
2010-06-20,DKI1,0.2265,10
2010-06-21,DKI1,0.2265,11
2010-06-22,DKI1,0.2265,12
2010-06-23,DKI1,0.2265,13
2010-06-24,DKI1,0.2265,14
2010-06-25,DKI1,0.2265,15
2010-06-26,DKI1,0.2498,0
2010-06-27,DKI1,0.2498,1
2010-06-28,DKI1,0.2498,2
2010-06-29,DKI1,0.2498,3
2010-06-30,DKI1,0.2498,4
2010-07-01,DKI1,0.2498,5
2010-07-02,DKI1,0.2498,6
2010-07-03,DKI1,0.2498,7
2010-07-04,DKI1,0.2498,8
2010-07-05,DKI1,0.2498,9
2010-07-06,DKI1,0.2498,10
2010-07-07,DKI1,0.2498,11
2010-07-08,DKI1,0.2498,12
2010-07-09,DKI1,0.2498,13
2010-07-10,DKI1,0.2498,14
2010-07-11,DKI1,0.2498,15
2010-07-12,DKI1,0.2117,0
2010-07-13,DKI1,0.2117,1
2010-07-14,DKI1,0.2117,2
2010-07-15,DKI1,0.2117,3
2010-07-16,DKI1,0.2117,4
2010-07-17,DKI1,0.2117,5
2010-07-18,DKI1,0.2117,6
2010-07-19,DKI1,0.2117,7
2010-07-20,DKI1,0.2117,8
2010-07-21,DKI1,0.2117,9
2010-07-22,DKI1,0.2117,10
2010-07-23,DKI1,0.2117,11
2010-07-24,DKI1,0.2117,12
2010-07-25,DKI1,0.2117,13
2010-07-26,DKI1,0.2117,14
2010-07-27,DKI1,0.2117,15
2010-07-28,DKI1,0.2754,0
2010-07-29,DKI1,0.2754,1
2010-07-30,DKI1,0.2754,2
2010-07-31,DKI1,0.2754,3
2010-08-01,DKI1,0.2754,4
2010-08-02,DKI1,0.2754,5
2010-08-03,DKI1,0.2754,6
2010-08-04,DKI1,0.2754,7
2010-08-05,DKI1,0.2754,8
2010-08-06,DKI1,0.2754,9
2010-08-07,DKI1,0.2754,10
2010-08-08,DKI1,0.2754,11
2010-08-09,DKI1,0.2754,12
2010-08-10,DKI1,0.2754,13
2010-08-11,DKI1,0.2754,14
2010-08-12,DKI1,0.2754,15
2010-08-13,DKI1,0.2487,0
2010-08-14,DKI1,0.2487,1
2010-08-15,DKI1,0.2487,2
2010-08-16,DKI1,0.2487,3
2010-08-17,DKI1,0.2487,4
2010-08-18,DKI1,0.2487,5
2010-08-19,DKI1,0.2487,6
2010-08-20,DKI1,0.2487,7
2010-08-21,DKI1,0.2487,8
2010-08-22,DKI1,0.2487,9
2010-08-23,DKI1,0.2487,10
2010-08-24,DKI1,0.2487,11
2010-08-25,DKI1,0.2487,12
2010-08-26,DKI1,0.2487,13
