ID,periode_data,tanggal,stasiun,pm_sepuluh,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,max,parameter_pencemar_kritis,kategori
2015-01-01_DKI1,201501,2015-01-01,DKI1,49,10,39,27,10,49,PM10,BAIK
2015-01-02_DKI2,201501,2015-01-02,DKI2,28,9,26,48,10,48,O3,BAIK
2015-01-03_DKI2,201501,2015-01-03,DKI2,27,10,28,44,10,44,O3,BAIK
2015-01-04_DKI2,201501,2015-01-04,DKI2,22,9,28,42,12,42,O3,BAIK
2015-01-05_DKI2,201501,2015-01-05,DKI2,25,9,25,32,7,32,O3,BAIK
2015-01-06_DKI2,201501,2015-01-06,DKI2,29,9,26,37,11,37,O3,BAIK
2015-01-07_DKI1,201501,2015-01-07,DKI1,32,10,32,35,12,35,O3,BAIK
2015-01-08_DKI3,201501,2015-01-08,DKI3,48,10,25,40,13,48,PM10,BAIK
2015-01-09_DKI1,201501,2015-01-09,DKI1,24,10,24,32,7,32,O3,BAIK
2015-01-10_DKI2,201501,2015-01-10,DKI2,25,10,24,43,8,43,O3,BAIK
2015-01-11_DKI1,201501,2015-01-11,DKI1,34,11,23,41,11,41,O3,BAIK
2015-01-12_DKI1,201501,2015-01-12,DKI1,37,11,28,37,13,37,PM10,BAIK
2015-01-13_DKI1,201501,2015-01-13,DKI1,45,11,39,35,18,45,PM10,BAIK
2015-01-14_DKI2,201501,2015-01-14,DKI2,41,11,44,40,17,44,CO,BAIK
2015-01-15_DKI2,201501,2015-01-15,DKI2,39,10,34,47,20,47,O3,BAIK
2015-01-16_DKI3,201501,2015-01-16,DKI3,57,16,61,40,17,61,CO,SEDANG
2015-01-17_DKI2,201501,2015-01-17,DKI2,39,11,30,43,15,43,O3,BAIK
2015-01-18_DKI5,201501,2015-01-18,DKI5,46,11,36,45,18,46,PM10,BAIK
2015-01-19_DKI1,201501,2015-01-19,DKI1,54,11,39,41,16,54,PM10,SEDANG
2015-01-20_DKI2,201501,2015-01-20,DKI2,70,13,72,51,24,72,CO,SEDANG
2015-01-21_DKI2,201501,2015-01-21,DKI2,56,12,61,40,16,61,CO,SEDANG
2015-01-22_DKI4,201501,2015-01-22,DKI4,45,11,36,36,15,45,PM10,BAIK
2015-01-23_DKI2,201501,2015-01-23,DKI2,49,10,50,41,23,50,CO,BAIK
2015-01-24_DKI3,201501,2015-01-24,DKI3,71,13,72,65,21,72,CO,SEDANG
