periode_data;tahun;periode;bulan_sampling;titik_sampel;sungai;alamat;lintang;bujur;jenis_parameter;parameter;satuan;baku_mutu;hasil_pengukuran
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;F;MG L;1,5;0,019
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;H2S;MG L;0,002;0,011
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;KLORIN BEBAS;MG L;0,03;0,39
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;HG;MG L;0,002;0,000049
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;KADMIUM CD;MG L;0,01;0,0059
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;SENG ZN;MG L;0,05;0,046
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;TEMBAGA CU;MG L;0,02;0,009
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;TIMAH HITAM PB;MG L;0,03;0,019
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;CROM HEXAVALEN CR6;MG L;0,05;0,0029
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;MINYAK DAN LEMAK;MG L;1;0,539
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;MBAS;MG L;0,2;0,03
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;FENOL;MG L;0,005;0,0045
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;BIOLOGI;TOTAL COLIFORM;MPN 100 ML;5000;280000
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;BIOLOGI;FECAL COLIFORM;MPN 100 ML;1000;110000
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;FISIKA;WARNA;PT-CO UNIT;50;131
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;SULFAT;MG L;300;17,3
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;KLORIDA;MG L;300;37,03
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;AMONIAK;MG L;0,2;0,33
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;TOTAL N;MG L;15;-
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;NI;MG L;0,05;0,039
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;KIMIA;SIANIDA;MG L;0,02;0,03
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;NILAI IP;-;-;-;8,056
2022;2022;1;202203;CLW1-3;CILIWUNG;KAMPUNG GEDONG INTAKE PAM;-6,292639;106,8535;STATUS IP;-;-;-;CEMAR SEDANG
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;FISIKA;ZAT PADAT TERLARUT TDS;MG L;1000;99,5
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;FISIKA;ZAT PADAT TERSUSPENSI TSS;MG L;50;269
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;PH;-;06-Sep;7,45
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;BOD;MG L;3;10,15
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;COD DICHROMAT;MG L;25;50
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;DO;MG L;4;2,65
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;NITRAT NO3;MG L;10;1,6
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;NITRIT;MG L;0,06;0,18
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;TOTAL P;MG L;0,2;0,0159
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;F;MG L;1,5;0,019
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;H2S;MG L;0,002;0,011
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;KLORIN BEBAS;MG L;0,03;0,39
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;HG;MG L;0,002;0,000049
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;KADMIUM CD;MG L;0,01;0,0059
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;SENG ZN;MG L;0,05;0,012
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;TEMBAGA CU;MG L;0,02;0,009
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;TIMAH HITAM PB;MG L;0,03;0,019
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;CROM HEXAVALEN CR6;MG L;0,05;0,0029
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;MINYAK DAN LEMAK;MG L;1;0,539
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;MBAS;MG L;0,2;0,029
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;FENOL;MG L;0,005;0,0033
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;BIOLOGI;TOTAL COLIFORM;MPN 100 ML;5000;2500000
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;BIOLOGI;FECAL COLIFORM;MPN 100 ML;1000;2200000
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;FISIKA;WARNA;PT-CO UNIT;50;127
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;SULFAT;MG L;300;14,32
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;KLORIDA;MG L;300;36,03
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;AMONIAK;MG L;0,2;0,36
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;TOTAL N;MG L;15;-
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;NI;MG L;0,05;0,039
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;KIMIA;SIANIDA;MG L;0,02;0,027
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;NILAI IP;-;-;-;12,643
2022;2022;1;202203;CLW1-4;CILIWUNG;JL. KALIBATA;-6,258176;106,860457;STATUS IP;-;-;-;CEMAR BERAT
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;FISIKA;ZAT PADAT TERLARUT TDS;MG L;1000;119
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;FISIKA;ZAT PADAT TERSUSPENSI TSS;MG L;50;157
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;PH;-;06-Sep;7,42
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;BOD;MG L;3;3,87
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;COD DICHROMAT;MG L;25;11
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;DO;MG L;4;1,06
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;NITRAT NO3;MG L;10;1,66
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;NITRIT;MG L;0,06;0,18
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;TOTAL P;MG L;0,2;0,025
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;F;MG L;1,5;0,04
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;H2S;MG L;0,002;0,0009
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;KLORIN BEBAS;MG L;0,03;0,36
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;HG;MG L;0,002;0,000049
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;KADMIUM CD;MG L;0,01;0,0059
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;SENG ZN;MG L;0,05;0,016
2022;2022;1;202203;CLW1-5;CILIWUNG;KAMPUNG MELAYU DALAM;-6,228147;106,864621;KIMIA;TEMBAGA CU;MG L;0,02;0,009
