tanggal,stasiun,jumlah
2010-01-01,DKI1,898883
2010-01-01,DKI2,1645312
2010-01-01,DKI3,2057080
2010-01-01,DKI4,2687027
2010-01-01,DKI5,2278825
2010-01-02,DKI1,898945
2010-01-02,DKI2,1644701
2010-01-02,DKI3,2056633
2010-01-02,DKI4,2686869
2010-01-02,DKI5,2277060
2010-01-03,DKI1,899007
2010-01-03,DKI2,1644090
2010-01-03,DKI3,2056187
2010-01-03,DKI4,2686711
2010-01-03,DKI5,2275295
2010-01-04,DKI1,899069
2010-01-04,DKI2,1643479
2010-01-04,DKI3,2055741
2010-01-04,DKI4,2686553
2010-01-04,DKI5,2273531
2010-01-05,DKI1,899131
2010-01-05,DKI2,1642868
2010-01-05,DKI3,2055295
2010-01-05,DKI4,2686395
2010-01-05,DKI5,2271766
2010-01-06,DKI1,899193
2010-01-06,DKI2,1642257
2010-01-06,DKI3,2054849
2010-01-06,DKI4,2686237
2010-01-06,DKI5,2270001
2010-01-07,DKI1,899255
2010-01-07,DKI2,1641646
2010-01-07,DKI3,2054403
2010-01-07,DKI4,2686079
2010-01-07,DKI5,2268237
2010-01-08,DKI1,899317
2010-01-08,DKI2,1641035
2010-01-08,DKI3,2053956
2010-01-08,DKI4,2685921
2010-01-08,DKI5,2266472
2010-01-09,DKI1,899380
2010-01-09,DKI2,1640424
2010-01-09,DKI3,2053510
2010-01-09,DKI4,2685763
2010-01-09,DKI5,2264707
2010-01-10,DKI1,899442
2010-01-10,DKI2,1639813
2010-01-10,DKI3,2053064
2010-01-10,DKI4,2685605
2010-01-10,DKI5,2262943
2010-01-11,DKI1,899504
2010-01-11,DKI2,1639202
2010-01-11,DKI3,2052618
2010-01-11,DKI4,2685447
2010-01-11,DKI5,2261178
2010-01-12,DKI1,899566
2010-01-12,DKI2,1638591
2010-01-12,DKI3,2052172
2010-01-12,DKI4,2685289
2010-01-12,DKI5,2259414
2010-01-13,DKI1,899628
2010-01-13,DKI2,1637980
2010-01-13,DKI3,2051726
2010-01-13,DKI4,2685131
2010-01-13,DKI5,2257649
2010-01-14,DKI1,899690
2010-01-14,DKI2,1637369
2010-01-14,DKI3,2051280
2010-01-14,DKI4,2684973
2010-01-14,DKI5,2255884
2010-01-15,DKI1,899752
2010-01-15,DKI2,1636758
2010-01-15,DKI3,2050833
2010-01-15,DKI4,2684815
2010-01-15,DKI5,2254120
2010-01-16,DKI1,899815
2010-01-16,DKI2,1636147
2010-01-16,DKI3,2050387
2010-01-16,DKI4,2684657
2010-01-16,DKI5,2252355
2010-01-17,DKI1,899877
2010-01-17,DKI2,1635536
2010-01-17,DKI3,2049941
2010-01-17,DKI4,2684499
2010-01-17,DKI5,2250590
2010-01-18,DKI1,899939
2010-01-18,DKI2,1634925
2010-01-18,DKI3,2049495
2010-01-18,DKI4,2684341
2010-01-18,DKI5,2248826
2010-01-19,DKI1,900001
2010-01-19,DKI2,1634314
2010-01-19,DKI3,2049049
2010-01-19,DKI4,2684183
2010-01-19,DKI5,2247061
2010-01-20,DKI1,900063
2010-01-20,DKI2,1633703
2010-01-20,DKI3,2048603
2010-01-20,DKI4,2684025
2010-01-20,DKI5,2245296
2010-01-21,DKI1,900125
2010-01-21,DKI2,1633092
2010-01-21,DKI3,2048157
2010-01-21,DKI4,2683867
2010-01-21,DKI5,2243532
2010-01-22,DKI1,900187
2010-01-22,DKI2,1632481
2010-01-22,DKI3,2047710
2010-01-22,DKI4,2683709
2010-01-22,DKI5,2241767
2010-01-23,DKI1,900250
2010-01-23,DKI2,1631870
2010-01-23,DKI3,2047264
2010-01-23,DKI4,2683551
2010-01-23,DKI5,2240003
2010-01-24,DKI1,900312
2010-01-24,DKI2,1631259
2010-01-24,DKI3,2046818
2010-01-24,DKI4,2683393
2010-01-24,DKI5,2238238
2010-01-25,DKI1,900374
2010-01-25,DKI2,1630648
2010-01-25,DKI3,2046372
2010-01-25,DKI4,2683235
2010-01-25,DKI5,2236473
2010-01-26,DKI1,900436
2010-01-26,DKI2,1630037
2010-01-26,DKI3,2045926
2010-01-26,DKI4,2683077
2010-01-26,DKI5,2234709
2010-01-27,DKI1,900498
2010-01-27,DKI2,1629426
2010-01-27,DKI3,2045480
2010-01-27,DKI4,2682919
2010-01-27,DKI5,2232944
2010-01-28,DKI1,900560
2010-01-28,DKI2,1628816
2010-01-28,DKI3,2045034
2010-01-28,DKI4,2682761
2010-01-28,DKI5,2231179
2010-01-29,DKI1,900622
2010-01-29,DKI2,1628205
2010-01-29,DKI3,2044587
2010-01-29,DKI4,2682603
2010-01-29,DKI5,2229415
2010-01-30,DKI1,900684
2010-01-30,DKI2,1627594
2010-01-30,DKI3,2044141
2010-01-30,DKI4,2682445
2010-01-30,DKI5,2227650
2010-01-31,DKI1,900747
2010-01-31,DKI2,1626983
2010-01-31,DKI3,2043695
2010-01-31,DKI4,2682287
2010-01-31,DKI5,2225885
2010-02-01,DKI1,900809
2010-02-01,DKI2,1626372
2010-02-01,DKI3,2043249
2010-02-01,DKI4,2682130
2010-02-01,DKI5,2224121
2010-02-02,DKI1,900871
2010-02-02,DKI2,1625761
2010-02-02,DKI3,2042803
2010-02-02,DKI4,2681972
2010-02-02,DKI5,2222356
2010-02-03,DKI1,900933
2010-02-03,DKI2,1625150
2010-02-03,DKI3,2042357
2010-02-03,DKI4,2681814
2010-02-03,DKI5,2220592
2010-02-04,DKI1,900995
2010-02-04,DKI2,1624539
2010-02-04,DKI3,2041910
2010-02-04,DKI4,2681656
2010-02-04,DKI5,2218827
2010-02-05,DKI1,901057
2010-02-05,DKI2,1623928
2010-02-05,DKI3,2041464
2010-02-05,DKI4,2681498
2010-02-05,DKI5,2217062
2010-02-06,DKI1,901119
2010-02-06,DKI2,1623317
2010-02-06,DKI3,2041018
2010-02-06,DKI4,2681340
2010-02-06,DKI5,2215298
2010-02-07,DKI1,901182
2010-02-07,DKI2,1622706
2010-02-07,DKI3,2040572
2010-02-07,DKI4,2681182
2010-02-07,DKI5,2213533
2010-02-08,DKI1,901244
2010-02-08,DKI2,1622095
2010-02-08,DKI3,2040126
2010-02-08,DKI4,2681024
2010-02-08,DKI5,2211768
2010-02-09,DKI1,901306
2010-02-09,DKI2,1621484
2010-02-09,DKI3,2039680
2010-02-09,DKI4,2680866
2010-02-09,DKI5,2210004
2010-02-10,DKI1,901368
2010-02-10,DKI2,1620873
2010-02-10,DKI3,2039234
2010-02-10,DKI4,2680708
2010-02-10,DKI5,2208239
2010-02-11,DKI1,901430
2010-02-11,DKI2,1620262
2010-02-11,DKI3,2038787
2010-02-11,DKI4,2680550
2010-02-11,DKI5,2206474
2010-02-12,DKI1,901492
2010-02-12,DKI2,1619651
2010-02-12,DKI3,2038341
2010-02-12,DKI4,2680392
2010-02-12,DKI5,2204710
2010-02-13,DKI1,901554
2010-02-13,DKI2,1619040
2010-02-13,DKI3,2037895
2010-02-13,DKI4,2680234
2010-02-13,DKI5,2202945
2010-02-14,DKI1,901617
2010-02-14,DKI2,1618429
2010-02-14,DKI3,2037449
2010-02-14,DKI4,2680076
2010-02-14,DKI5,2201181
2010-02-15,DKI1,901679
2010-02-15,DKI2,1617818
2010-02-15,DKI3,2037003
2010-02-15,DKI4,2679918
2010-02-15,DKI5,2199416
2010-02-16,DKI1,901741
2010-02-16,DKI2,1617207
2010-02-16,DKI3,2036557
2010-02-16,DKI4,2679760
2010-02-16,DKI5,2197651
2010-02-17,DKI1,901803
2010-02-17,DKI2,1616596
2010-02-17,DKI3,2036111
2010-02-17,DKI4,2679602
2010-02-17,DKI5,2195887
2010-02-18,DKI1,901865
2010-02-18,DKI2,1615985
2010-02-18,DKI3,2035664
2010-02-18,DKI4,2679444
2010-02-18,DKI5,2194122
2010-02-19,DKI1,901927
2010-02-19,DKI2,1615374
2010-02-19,DKI3,2035218
2010-02-19,DKI4,2679286
2010-02-19,DKI5,2192357
2010-02-20,DKI1,901989
2010-02-20,DKI2,1614763
2010-02-20,DKI3,2034772
2010-02-20,DKI4,2679128
2010-02-20,DKI5,2190593
2010-02-21,DKI1,902051
2010-02-21,DKI2,1614152
2010-02-21,DKI3,2034326
2010-02-21,DKI4,2678970
2010-02-21,DKI5,2188828
2010-02-22,DKI1,902114
2010-02-22,DKI2,1613541
2010-02-22,DKI3,2033880
2010-02-22,DKI4,2678812
2010-02-22,DKI5,2187063
2010-02-23,DKI1,902176
2010-02-23,DKI2,1612931
2010-02-23,DKI3,2033434
2010-02-23,DKI4,2678654
2010-02-23,DKI5,2185299
2010-02-24,DKI1,902238
2010-02-24,DKI2,1612320
2010-02-24,DKI3,2032988
2010-02-24,DKI4,2678496
2010-02-24,DKI5,2183534
2010-02-25,DKI1,902300
2010-02-25,DKI2,1611709
2010-02-25,DKI3,2032541
2010-02-25,DKI4,2678338
2010-02-25,DKI5,2181770
2010-02-26,DKI1,902362
2010-02-26,DKI2,1611098
2010-02-26,DKI3,2032095
2010-02-26,DKI4,2678180
2010-02-26,DKI5,2180005
2010-02-27,DKI1,902424
2010-02-27,DKI2,1610487
2010-02-27,DKI3,2031649
2010-02-27,DKI4,2678022
2010-02-27,DKI5,2178240
2010-02-28,DKI1,902486
2010-02-28,DKI2,1609876
2010-02-28,DKI3,2031203
2010-02-28,DKI4,2677864
2010-02-28,DKI5,2176476
2010-03-01,DKI1,902549
2010-03-01,DKI2,1609265
2010-03-01,DKI3,2030757
2010-03-01,DKI4,2677706
2010-03-01,DKI5,2174711
2010-03-02,DKI1,902611
2010-03-02,DKI2,1608654
2010-03-02,DKI3,2030311
2010-03-02,DKI4,2677548
2010-03-02,DKI5,2172946
2010-03-03,DKI1,902673
2010-03-03,DKI2,1608043
2010-03-03,DKI3,2029864
2010-03-03,DKI4,2677391
2010-03-03,DKI5,2171182
2010-03-04,DKI1,902735
2010-03-04,DKI2,1607432
2010-03-04,DKI3,2029418
2010-03-04,DKI4,2677233
2010-03-04,DKI5,2169417
2010-03-05,DKI1,902797
2010-03-05,DKI2,1606821
2010-03-05,DKI3,2028972
2010-03-05,DKI4,2677075
2010-03-05,DKI5,2167652
2010-03-06,DKI1,902859
2010-03-06,DKI2,1606210
2010-03-06,DKI3,2028526
2010-03-06,DKI4,2676917
2010-03-06,DKI5,2165888
2010-03-07,DKI1,902921
2010-03-07,DKI2,1605599
2010-03-07,DKI3,2028080
2010-03-07,DKI4,2676759
2010-03-07,DKI5,2164123
2010-03-08,DKI1,902984
2010-03-08,DKI2,1604988
2010-03-08,DKI3,2027634
2010-03-08,DKI4,2676601
2010-03-08,DKI5,2162359
2010-03-09,DKI1,903046
2010-03-09,DKI2,1604377
2010-03-09,DKI3,2027188
2010-03-09,DKI4,2676443
2010-03-09,DKI5,2160594
2010-03-10,DKI1,903108
2010-03-10,DKI2,1603766
2010-03-10,DKI3,2026741
2010-03-10,DKI4,2676285
2010-03-10,DKI5,2158829
2010-03-11,DKI1,903170
2010-03-11,DKI2,1603155
2010-03-11,DKI3,2026295
2010-03-11,DKI4,2676127
2010-03-11,DKI5,2157065
2010-03-12,DKI1,903232
2010-03-12,DKI2,1602544
2010-03-12,DKI3,2025849
2010-03-12,DKI4,2675969
2010-03-12,DKI5,2155300
2010-03-13,DKI1,903294
2010-03-13,DKI2,1601933
2010-03-13,DKI3,2025403
2010-03-13,DKI4,2675811
2010-03-13,DKI5,2153535
2010-03-14,DKI1,903356
2010-03-14,DKI2,1601322
2010-03-14,DKI3,2024957
2010-03-14,DKI4,2675653
2010-03-14,DKI5,2151771
2010-03-15,DKI1,903419
2010-03-15,DKI2,1600711
2010-03-15,DKI3,2024511
2010-03-15,DKI4,2675495
2010-03-15,DKI5,2150006
2010-03-16,DKI1,903481
2010-03-16,DKI2,1600100
2010-03-16,DKI3,2024065
2010-03-16,DKI4,2675337
2010-03-16,DKI5,2148241
2010-03-17,DKI1,903543
2010-03-17,DKI2,1599489
2010-03-17,DKI3,2023618
2010-03-17,DKI4,2675179
2010-03-17,DKI5,2146477
2010-03-18,DKI1,903605
2010-03-18,DKI2,1598878
2010-03-18,DKI3,2023172
2010-03-18,DKI4,2675021
2010-03-18,DKI5,2144712
2010-03-19,DKI1,903667
2010-03-19,DKI2,1598267
2010-03-19,DKI3,2022726
2010-03-19,DKI4,2674863
2010-03-19,DKI5,2142948
2010-03-20,DKI1,903729
2010-03-20,DKI2,1597656
2010-03-20,DKI3,2022280
2010-03-20,DKI4,2674705
2010-03-20,DKI5,2141183
2010-03-21,DKI1,903791
2010-03-21,DKI2,1597046
2010-03-21,DKI3,2021834
2010-03-21,DKI4,2674547
2010-03-21,DKI5,2139418
2010-03-22,DKI1,903853
2010-03-22,DKI2,1596435
2010-03-22,DKI3,2021388
2010-03-22,DKI4,2674389
2010-03-22,DKI5,2137654
2010-03-23,DKI1,903916
2010-03-23,DKI2,1595824
2010-03-23,DKI3,2020942
2010-03-23,DKI4,2674231
2010-03-23,DKI5,2135889
2010-03-24,DKI1,903978
2010-03-24,DKI2,1595213
2010-03-24,DKI3,2020495
2010-03-24,DKI4,2674073
2010-03-24,DKI5,2134124
2010-03-25,DKI1,904040
2010-03-25,DKI2,1594602
2010-03-25,DKI3,2020049
2010-03-25,DKI4,2673915
2010-03-25,DKI5,2132360
2010-03-26,DKI1,904102
2010-03-26,DKI2,1593991
2010-03-26,DKI3,2019603
2010-03-26,DKI4,2673757
2010-03-26,DKI5,2130595
2010-03-27,DKI1,904164
2010-03-27,DKI2,1593380
2010-03-27,DKI3,2019157
2010-03-27,DKI4,2673599
2010-03-27,DKI5,2128830
2010-03-28,DKI1,904226
2010-03-28,DKI2,1592769
2010-03-28,DKI3,2018711
2010-03-28,DKI4,2673441
2010-03-28,DKI5,2127066
2010-03-29,DKI1,904288
2010-03-29,DKI2,1592158
2010-03-29,DKI3,2018265
2010-03-29,DKI4,2673283
2010-03-29,DKI5,2125301
2010-03-30,DKI1,904351
2010-03-30,DKI2,1591547
2010-03-30,DKI3,2017818
2010-03-30,DKI4,2673125
2010-03-30,DKI5,2123537
2010-03-31,DKI1,904413
2010-03-31,DKI2,1590936
2010-03-31,DKI3,2017372
2010-03-31,DKI4,2672967
2010-03-31,DKI5,2121772
2010-04-01,DKI1,904475
2010-04-01,DKI2,1590325
2010-04-01,DKI3,2016926
2010-04-01,DKI4,2672809
2010-04-01,DKI5,2120007
2010-04-02,DKI1,904537
2010-04-02,DKI2,1589714
2010-04-02,DKI3,2016480
2010-04-02,DKI4,2672651
2010-04-02,DKI5,2118243
2010-04-03,DKI1,904599
2010-04-03,DKI2,1589103
2010-04-03,DKI3,2016034
2010-04-03,DKI4,2672494
2010-04-03,DKI5,2116478
