tanggal,stasiun,populasi,days_since_pop_update
2010-01-01,DKI1,898883,0
2010-01-01,DKI2,1645312,0
2010-01-01,DKI3,2057080,0
2010-01-01,DKI4,2687027,0
2010-01-01,DKI5,2278825,0
2010-01-02,DKI1,898883,1
2010-01-02,DKI2,1645312,1
2010-01-02,DKI3,2057080,1
2010-01-02,DKI4,2687027,1
2010-01-02,DKI5,2278825,1
2010-01-03,DKI1,898883,2
2010-01-03,DKI2,1645312,2
2010-01-03,DKI3,2057080,2
2010-01-03,DKI4,2687027,2
2010-01-03,DKI5,2278825,2
2010-01-04,DKI1,898883,3
2010-01-04,DKI2,1645312,3
2010-01-04,DKI3,2057080,3
2010-01-04,DKI4,2687027,3
2010-01-04,DKI5,2278825,3
2010-01-05,DKI1,898883,4
2010-01-05,DKI2,1645312,4
2010-01-05,DKI3,2057080,4
2010-01-05,DKI4,2687027,4
2010-01-05,DKI5,2278825,4
2010-01-06,DKI1,898883,5
2010-01-06,DKI2,1645312,5
2010-01-06,DKI3,2057080,5
2010-01-06,DKI4,2687027,5
2010-01-06,DKI5,2278825,5
2010-01-07,DKI1,898883,6
2010-01-07,DKI2,1645312,6
2010-01-07,DKI3,2057080,6
2010-01-07,DKI4,2687027,6
2010-01-07,DKI5,2278825,6
2010-01-08,DKI1,898883,7
2010-01-08,DKI2,1645312,7
2010-01-08,DKI3,2057080,7
2010-01-08,DKI4,2687027,7
2010-01-08,DKI5,2278825,7
2010-01-09,DKI1,898883,8
2010-01-09,DKI2,1645312,8
2010-01-09,DKI3,2057080,8
2010-01-09,DKI4,2687027,8
2010-01-09,DKI5,2278825,8
2010-01-10,DKI1,898883,9
2010-01-10,DKI2,1645312,9
2010-01-10,DKI3,2057080,9
2010-01-10,DKI4,2687027,9
2010-01-10,DKI5,2278825,9
2010-01-11,DKI1,898883,10
2010-01-11,DKI2,1645312,10
2010-01-11,DKI3,2057080,10
2010-01-11,DKI4,2687027,10
2010-01-11,DKI5,2278825,10
2010-01-12,DKI1,898883,11
2010-01-12,DKI2,1645312,11
2010-01-12,DKI3,2057080,11
2010-01-12,DKI4,2687027,11
2010-01-12,DKI5,2278825,11
2010-01-13,DKI1,898883,12
2010-01-13,DKI2,1645312,12
2010-01-13,DKI3,2057080,12
2010-01-13,DKI4,2687027,12
2010-01-13,DKI5,2278825,12
2010-01-14,DKI1,898883,13
2010-01-14,DKI2,1645312,13
2010-01-14,DKI3,2057080,13
2010-01-14,DKI4,2687027,13
2010-01-14,DKI5,2278825,13
2010-01-15,DKI1,898883,14
2010-01-15,DKI2,1645312,14
2010-01-15,DKI3,2057080,14
2010-01-15,DKI4,2687027,14
2010-01-15,DKI5,2278825,14
2010-01-16,DKI1,898883,15
2010-01-16,DKI2,1645312,15
2010-01-16,DKI3,2057080,15
2010-01-16,DKI4,2687027,15
2010-01-16,DKI5,2278825,15
2010-01-17,DKI1,898883,16
2010-01-17,DKI2,1645312,16
2010-01-17,DKI3,2057080,16
2010-01-17,DKI4,2687027,16
2010-01-17,DKI5,2278825,16
2010-01-18,DKI1,898883,17
2010-01-18,DKI2,1645312,17
2010-01-18,DKI3,2057080,17
2010-01-18,DKI4,2687027,17
2010-01-18,DKI5,2278825,17
2010-01-19,DKI1,898883,18
2010-01-19,DKI2,1645312,18
2010-01-19,DKI3,2057080,18
2010-01-19,DKI4,2687027,18
2010-01-19,DKI5,2278825,18
2010-01-20,DKI1,898883,19
2010-01-20,DKI2,1645312,19
2010-01-20,DKI3,2057080,19
2010-01-20,DKI4,2687027,19
2010-01-20,DKI5,2278825,19
2010-01-21,DKI1,898883,20
2010-01-21,DKI2,1645312,20
2010-01-21,DKI3,2057080,20
2010-01-21,DKI4,2687027,20
2010-01-21,DKI5,2278825,20
2010-01-22,DKI1,898883,21
2010-01-22,DKI2,1645312,21
2010-01-22,DKI3,2057080,21
2010-01-22,DKI4,2687027,21
2010-01-22,DKI5,2278825,21
2010-01-23,DKI1,898883,22
2010-01-23,DKI2,1645312,22
2010-01-23,DKI3,2057080,22
2010-01-23,DKI4,2687027,22
2010-01-23,DKI5,2278825,22
2010-01-24,DKI1,898883,23
2010-01-24,DKI2,1645312,23
2010-01-24,DKI3,2057080,23
2010-01-24,DKI4,2687027,23
2010-01-24,DKI5,2278825,23
2010-01-25,DKI1,898883,24
2010-01-25,DKI2,1645312,24
2010-01-25,DKI3,2057080,24
2010-01-25,DKI4,2687027,24
2010-01-25,DKI5,2278825,24
2010-01-26,DKI1,898883,25
2010-01-26,DKI2,1645312,25
2010-01-26,DKI3,2057080,25
2010-01-26,DKI4,2687027,25
2010-01-26,DKI5,2278825,25
2010-01-27,DKI1,898883,26
2010-01-27,DKI2,1645312,26
2010-01-27,DKI3,2057080,26
2010-01-27,DKI4,2687027,26
2010-01-27,DKI5,2278825,26
2010-01-28,DKI1,898883,27
2010-01-28,DKI2,1645312,27
2010-01-28,DKI3,2057080,27
2010-01-28,DKI4,2687027,27
2010-01-28,DKI5,2278825,27
2010-01-29,DKI1,898883,28
2010-01-29,DKI2,1645312,28
2010-01-29,DKI3,2057080,28
2010-01-29,DKI4,2687027,28
2010-01-29,DKI5,2278825,28
2010-01-30,DKI1,898883,29
2010-01-30,DKI2,1645312,29
2010-01-30,DKI3,2057080,29
2010-01-30,DKI4,2687027,29
2010-01-30,DKI5,2278825,29
2010-01-31,DKI1,898883,30
2010-01-31,DKI2,1645312,30
2010-01-31,DKI3,2057080,30
2010-01-31,DKI4,2687027,30
