tanggal,stasiun,jumlah
2010-01-01,DKI3,2057080
2010-01-01,DKI4,2687027
2010-01-01,DKI1,898883
2010-01-01,DKI5,2278825
2010-01-01,DKI2,1645312
2011-01-01,DKI3,1894236
2011-01-01,DKI4,2629369
2011-01-01,DKI1,921563
2011-01-01,DKI5,1634733
2011-01-01,DKI2,1422311
2012-01-01,DKI3,2135571
2012-01-01,DKI4,2926732
2012-01-01,DKI1,1123670
2012-01-01,DKI5,2260341
2012-01-01,DKI2,1716345
2013-12-15,DKI1,1103422
2013-12-15,DKI2,3054036
2013-12-15,DKI3,2090532
2013-12-15,DKI4,2834549
2013-12-15,DKI5,4086575
2014-12-15,DKI1,1193107
2014-12-15,DKI2,1896521
2014-12-15,DKI3,2036448
2014-12-15,DKI4,3371968
2014-12-15,DKI5,2340105
2015-12-15,DKI1,1312281
2015-12-15,DKI2,2038633
2015-12-15,DKI3,2420618
2015-12-15,DKI4,2428425
2015-12-15,DKI5,2638028
2016-12-15,DKI1,1120997
2016-12-15,DKI2,1688957
2016-12-15,DKI3,2191137
2016-12-15,DKI4,2947691
2016-12-15,DKI5,2332364
2017-06-15,DKI3,2226830
2017-06-15,DKI4,2892783
2017-06-15,DKI1,921344
2017-06-15,DKI5,2528065
2017-06-15,DKI2,1781316
2018-06-15,DKI3,2246137
2018-06-15,DKI4,2916018
2018-06-15,DKI1,924686
2018-06-15,DKI5,2559362
2018-06-15,DKI2,1797292
2019-06-15,DKI3,2264699
2019-06-15,DKI4,2937859
2019-06-15,DKI1,928109
2019-06-15,DKI5,2589933
2019-06-15,DKI2,1812915
2020-06-15,DKI3,2226812
2020-06-15,DKI4,3037139
2020-06-15,DKI1,1056896
2020-06-15,DKI5,2434511
2020-06-15,DKI2,1778981
2021-06-15,DKI3,2232442
2021-06-15,DKI4,3051866
2021-06-15,DKI1,1057465
2021-06-15,DKI5,2446687
2021-06-15,DKI2,1788981
2022-06-15,DKI3,2234262
2022-06-15,DKI4,3066074
2022-06-15,DKI1,1053482
2022-06-15,DKI5,2458707
2022-06-15,DKI2,1799220
2024-09-15,DKI1,595878
2025-03-15,DKI1,592494
2024-09-15,DKI2,945103
2025-03-15,DKI2,1096546
2024-09-15,DKI3,1580364
2025-03-15,DKI3,1282287
2024-09-15,DKI4,2545343
2025-03-15,DKI4,2168235
2024-09-15,DKI5,1443134
2025-03-15,DKI5,1975824
