periode_data;nama_sungai;nama_lokasi;parameter;satuan;nilai
201509;SUNGAI CILIWUNG;MANGGARAI;FENOL;?/L;-
201509;SUNGAI CILIWUNG;MANGGARAI;MINYAK LEMAK;?/L;0.42
201509;SUNGAI CILIWUNG;MANGGARAI;DETERGEN;?/L;1.01
201509;SUNGAI CILIWUNG;MANGGARAI;FECAL COLIFORM;JMLH/100ML;40000000
201509;SUNGAI CILIWUNG;MANGGARAI;TOTAL COLIFORM;JMLH/100ML;85000000
201509;SUNGAI CILIWUNG;MANGGARAI;SIANIDA;MG/L;-
201509;SUNGAI CILIWUNG;MANGGARAI;H2S;MG/L;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;KOORDINAT DERAJAT LINTANG;-;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;KOORDINAT MENIT LINTANG;-;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;KOORDINAT DETIK LINTANG;-;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;KOORDINAT DERAJAT BUJUR TIMUR;-;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;KOORDINAT MENIT BUJUR TIMUR;-;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;KOORDINAT DETIK BUJUR TIMUR;-;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;WAKTU SAMPLING;-;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;TEMPERATUR;CELCIUS;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;RESIDU TERLARUT;MG/L;315
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;RESIDU TERSUSPENSI;MG/L;44
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;PH;-;7.3
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;DHL;MG/L;590
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;TDS;MG/L;315
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;TSS;MG/L;44
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;DO;MG/L;0.73
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;BOD;MG/L;10.59
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;COD;MG/L;77.67
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;NO2;MG/L;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;NO3;MG/L;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;NH3;MG/L;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;KLORIN BEBAS;MG/L;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;T-P JUMLAH;-;-
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;T-P;MG/L;1.59
201509;SUNGAI CILIWUNG;JL.AURI TAMAN BUNGA/CIBUBUR;FENOL;?/L;-
